01691,野付郡別海町,16207
01692,標津郡中標津町,24040
01693,標津郡標津町,5858
01694,目梨郡羅臼町,6130
02000,青森県,1417278
02201,青森市,306263
02202,弘前市,184719
02203,八戸市,243682
02204,黒石市,37864
02205,五所川原市,61714
02206,十和田市,66254
02207,三沢市,42688
02208,むつ市,64535
02209,つがる市,38121
02210,平川市,34595
02300,東津軽郡,28336
02301,東津軽郡平内町,13387
02303,東津軽郡今別町,3598
02304,東津軽郡蓬田村,3356
02307,東津軽郡外ヶ浜町,7995
02320,西津軽郡,22934
02321,西津軽郡鰺ヶ沢町,12461
02323,西津軽郡深浦町,10473
02340,中津軽郡,1584
02343,中津軽郡西目屋村,1584
02360,南津軽郡,36825
02361,南津軽郡藤崎町,16376
02362,南津軽郡大鰐町,11893
02367,南津軽郡田舎館村,8556
02380,北津軽郡,44263
02381,北津軽郡板柳町,15741
02384,北津軽郡鶴田町,14725
02387,北津軽郡中泊町,13797
02400,上北郡,105476
02401,上北郡野辺地町,15055
02402,上北郡七戸町,18134
02405,上北郡六戸町,10663
02406,上北郡横浜町,5230
02408,上北郡東北町,20051
02411,上北郡六ヶ所村,11259
02412,上北郡おいらせ町,25084
02420,下北郡,18842
02423,下北郡大間町,6219
02424,下北郡東通村,7536
02425,下北郡風間浦村,2520
02426,下北郡佐井村,2567
02440,三戸郡,78583
02441,三戸郡三戸町,12302
02442,三戸郡五戸町,20062
02443,三戸郡田子町,6888
02445,三戸郡南部町,21424
02446,三戸郡階上町,14796
02450,三戸郡新郷村,3111
03000,岩手県,1355205
03201,盛岡市,292035
03202,宮古市,57912
03203,大船渡市,41398
03205,花巻市,103822
03206,北上市,93619
03207,久慈市,38569
03208,遠野市,30854
03209,一関市,122006
03210,陸前高田市,24457
03211,釜石市,41038
03213,二戸市,30988
03214,八幡平市,30042
03215,奥州市,128106
03300,岩手郡,95568
03301,岩手郡雫石町,18752
03302,岩手郡葛巻町,7770
03303,岩手郡岩手町,15998
03305,岩手郡滝沢村,53048
03320,紫波郡,61360
03321,紫波郡紫波町,34334
03322,紫波郡矢巾町,27026
03360,和賀郡,7111
03366,和賀郡西和賀町,7111
03380,胆沢郡,16374
03381,胆沢郡金ケ崎町,16374
03400,西磐井郡,8664
03402,西磐井郡平泉町,8664
03420,東磐井郡,9464
03422,東磐井郡藤沢町,9464
03440,気仙郡,6478
03441,気仙郡住田町,6478
03460,上閉伊郡,16376
