08220,つくば市役所,36.08356016,140.07647317
08221,ひたちなか市役所,36.39661500,140.53467600
08222,鹿嶋市役所,35.96572070,140.64485242
08223,潮来市役所,35.94713400,140.55536400
08224,守谷市役所,35.95132697,139.97546532
08225,常陸大宮市役所,36.54259200,140.41101200
08226,那珂市役所,36.45742400,140.48672600
08227,筑西市役所,36.30711500,139.98306900
08228,坂東市役所,36.04836300,139.88868000
08229,稲敷市役所,35.95656900,140.32398800
08230,かすみがうら市役所,36.15181200,140.23700600
08231,桜川市役所,36.32727300,140.09047800
08232,神栖市役所,35.88997200,140.66452700
08233,行方市役所,35.99016591,140.48909986
08234,鉾田市役所,36.15868700,140.51643700
08235,つくばみらい市役所,35.96291100,140.03706900
08236,小美玉市役所,36.23928300,140.35258900
09201,宇都宮市役所,36.55511500,139.88280700
09202,足利市役所,36.34014600,139.44969600
09203,栃木市役所,36.38241388,139.73411109
09204,佐野市役所,36.30860300,139.59313400
09205,鹿沼市役所,36.56712000,139.74509800
09206,日光市役所,36.71986100,139.69820400
09208,小山市役所,36.31447700,139.80013200
09209,真岡市役所,36.44042700,140.01342800
09210,大田原市役所,36.87107600,140.01545800
09211,矢板市役所,36.80673200,139.92422600
09213,那須塩原市役所,36.96169000,140.04604400
09214,さくら市役所,36.68529500,139.96647400
09215,那須烏山市役所,36.65689100,140.15137600
09216,下野市役所,36.38716700,139.84194200
10201,前橋市役所,36.38941300,139.06349300
10202,高崎市役所,36.32195000,139.00335500
10203,桐生市役所,36.40521000,139.33064600
10204,伊勢崎市役所,36.31134100,139.19696000
10205,太田市役所,36.29112700,139.37536000
10206,沼田市役所,36.64607800,139.04407400
10207,館林市役所,36.24484100,139.54205700
10208,渋川市役所,36.48948000,139.00039400
10209,藤岡市役所,36.25850900,139.07456400
10210,富岡市役所,36.25985200,138.88995400
10211,安中市役所,36.32629800,138.88724400
10212,みどり市役所,36.39481900,139.28107600
11100,さいたま市役所,35.86151500,139.64550200
11201,川越市役所,35.92511200,139.48584000
11202,熊谷市役所,36.14736200,139.38866400
11203,川口市役所,35.80774100,139.72417100
11206,行田市役所,36.13895100,139.45564600
11207,秩父市役所,35.99168100,139.08547500
11208,所沢市役所,35.79967200,139.46861300
11209,飯能市役所,35.85576000,139.32779100
11210,加須市役所,36.13143800,139.60177500
11211,本庄市役所,36.24332900,139.19062900
11212,東松山市役所,36.04216200,139.39995000
11214,春日部市役所,35.97530500,139.75240900
11215,狭山市役所,35.85290700,139.41222700
11216,羽生市役所,36.17266700,139.54859200
11217,鴻巣市役所,36.06575800,139.52217200
11218,深谷市役所,36.19746600,139.28147000
11219,上尾市役所,35.97740800,139.59320300
11221,草加市役所,35.82537100,139.80532700
11222,越谷市役所,35.89108700,139.79094300
11223,蕨市役所,35.82557600,139.67975800
11224,戸田市役所,35.81763500,139.67793100
11225,入間市役所,35.83576900,139.39105800
11227,朝霞市役所,35.79725500,139.59391900
11228,志木市役所,35.83661400,139.58023000
11229,和光市役所,35.78110400,139.60569300
11230,新座市役所,35.79349700,139.56533000
11231,桶川市役所,36.00296600,139.55817700
11232,久喜市役所,36.06205900,139.66683800
11233,北本市役所,36.02702600,139.53024000
11234,八潮市役所,35.82253900,139.83917500
11235,富士見市役所,35.85675900,139.54907400
11237,三郷市役所,35.83013200,139.87224700
11238,蓮田市役所,35.99450400,139.66220000
11239,坂戸市役所,35.95726200,139.40298300
11240,幸手市役所,36.07808900,139.72580500
11241,鶴ヶ島市役所,35.93452300,139.39312600
11242,日高市役所,35.90774800,139.33914000
11243,吉川市役所,35.89112400,139.84132800
11245,ふじみ野市役所,35.87939600,139.51982000
11245,ふじみ野市役所出張所,35.87318600,139.51012100
11246,白岡市役所,36.01907000,139.67686100
11246,白岡市役所連絡所,36.01809000,139.66649300
12100,千葉市役所,35.60733100,140.10638000
12202,銚子市役所,35.73466700,140.82679100
